department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
EDU;366;"Teach Math in Elem School";0001;LEC;12859;View Details;MoWe 11:00AM - 12:15PM;Normal 104B;Zhijun Wu;01/22/2013 - 05/16/2013
EDU;371;"Teach Social Studies in Elemen";0001;LEC;12695;View Details;TBA;ONLINE;Tomasz Z Herzog;01/22/2013 - 05/16/2013
EDU;371;"Teach Social Studies in Elemen";0002;LEC;12867;View Details;TuTh 3:30PM - 4:45PM;Folsom Hall 303;Tomasz Z Herzog;01/22/2013 - 05/16/2013
EDU;373;"Teach Social Studies in Secondary School";0001;LEC;12862;View Details;MoWe 12:30PM - 1:45PM;Normal 104A;Tomasz Z Herzog;01/22/2013 - 05/16/2013
EDU;376;"Teach Hper in Elem School";0001;LEC;12860;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 111;;01/22/2013 - 05/16/2013
EDU;386;"Special Topics in Education";0001;LEC;13671;View Details;TBA;ONLINE;Sohyun Meacham;01/22/2013 - 05/16/2013
EDU;386;"Special Topics in Education";0002;LEC;13672;View Details;TBA;ONLINE;Sohyun Meacham;01/22/2013 - 05/16/2013
EDU;387;"Teaching Students with Special Needs in Inclusive Classrooms";0001;LEC;12699;View Details;TBA;ONLINE;William A Breton;01/22/2013 - 05/16/2013
EDU;387;"Teaching Students with Special Needs in Inclusive Classrooms";0002;LEC;12866;View Details;MoWe 3:30PM - 4:45PM;Folsom Hall 204;William A Breton;01/22/2013 - 05/16/2013
EDU;387;"Teaching Students with Special Needs in Inclusive Classrooms";0003;LEC;14099;View Details;TBA;ONLINE;William A Breton;01/22/2013 - 05/16/2013
EDU;395;"Internship in Teacher Educatio";0001;LEC;12700;View Details;TBA;ONLINE;Wendy L Ross;01/22/2013 - 05/16/2013
EDU;495;"Student Teaching";0001;FEX;12968;View Details;TBA;UMPI Arranged Space;V John Stewart;01/22/2013 - 05/16/2013
ENG;100;"Introduction to College Reading and Writing";0001;LEC;4262;View Details;MoWeFr 9:00AM - 9:50AM;Pullen Hall 212;Karen M McCosker;01/22/2013 - 05/16/2013;Mo 8:00AM - 8:50AM;Pullen Hall 214;Karen M McCosker;01/22/2013 - 05/16/2013
ENG;101;"College Composition";0002;LEC;4393;View Details;TBA;ONLINE;John R Haley;01/22/2013 - 05/16/2013
ENG;101;"College Composition";0004;LEC;4395;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 206;Barbara Ladner;01/22/2013 - 05/16/2013
ENG;101;"College Composition";0007;LEC;10667;View Details;TuTh 4:00PM - 5:15PM;Houlton Center;Ronald Henry Murray;01/22/2013 - 05/16/2013
ENG;116;"Introduction to Film";0001;LEC;7216;View Details;Tu 6:00PM - 8:45PM;Pullen Hall 210;Richard Lee Zuras;01/22/2013 - 05/16/2013
ENG;116;"Introduction to Film";0002;LEC;7217;View Details;TBA;ONLINE;E Clifton Boudman;01/22/2013 - 05/16/2013
ENG;121;"College Composition II";0001;LEC;10684;View Details;MoWe 2:00PM - 3:15PM;Pullen Hall 111;Anthony D Scott;01/22/2013 - 05/16/2013
ENG;121;"College Composition II";0002;LEC;10685;View Details;TuTh 9:30AM - 10:45AM;Pullen Hall 214;Deborah L Hodgkins;01/22/2013 - 05/16/2013
ENG;121;"College Composition II";0003;LEC;10686;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 214;Deborah L Hodgkins;01/22/2013 - 05/16/2013
ENG;121;"College Composition II";0004;LEC;10687;View Details;TBA;ONLINE;Jeffrey A Lovejoy;01/22/2013 - 05/16/2013
ENG;121;"College Composition II";0005;LEC;10688;View Details;We 4:00PM - 6:45PM;Houlton Center;Jeffrey A Lovejoy;01/22/2013 - 05/16/2013
ENG;121;"College Composition II";0007;LEC;10690;View Details;MoWeFr 10:00AM - 10:50AM;Pullen Hall 216;John R Haley;01/22/2013 - 05/16/2013
ENG;151;"Introduction to Literature";0001;LEC;4264;View Details;TBA;ONLINE;Melissa M Crowe;01/22/2013 - 05/16/2013
ENG;151;"Introduction to Literature";0003;LEC;4402;View Details;TuTh 2:00PM - 3:15PM;Pullen Hall 210;Richard Lee Zuras;01/22/2013 - 05/16/2013
ENG;211;"Introduction to Creative Writing";0001;LEC;4265;View Details;MoWe 2:00PM - 3:15PM;Pullen Hall 210;Richard Lee Zuras;01/22/2013 - 05/16/2013
ENG;211;"Introduction to Creative Writing";0002;LEC;4403;View Details;TBA;ONLINE;Melissa M Crowe;01/22/2013 - 05/16/2013
ENG;211;"Introduction to Creative Writing";6WK2;LEC;11954;View Details;TBA;ONLINE;Melissa M Crowe;03/18/2013 - 05/03/2013
ENG;259;"Contemporary World Literature";0002;LEC;7851;View Details;TBA;ONLINE;Deborah L Hodgkins;01/22/2013 - 05/16/2013
ENG;300;"Major Authors";0001;LEC;4267;View Details;TBA;ONLINE;Lea Knudsen Allen;01/22/2013 - 05/16/2013
ENG;312;"Fiction Writing Workshop";0001;LEC;4270;View Details;Tu 10:00AM - 12:45PM;Houlton Center;Jeffrey A Lovejoy;01/22/2013 - 05/16/2013
ENG;314;"Screenwriting Workshop";0001;LEC;4269;View Details;MoWe 3:30PM - 4:45PM;Pullen Hall 210;Richard Lee Zuras;01/22/2013 - 05/16/2013
ENG;359;"Studies in Twentieth";0001;LEC;4272;View Details;TBA;ONLINE;Melissa M Crowe;01/22/2013 - 05/16/2013
ENG;374;"Topics in Philosophy and Literature";6WK1;LEC;7219;View Details;TBA;ONLINE;Michael D Amey;01/22/2013 - 03/08/2013
ENG;388;"Literary Theory and Critical Practice";0001;LEC;4273;View Details;TBA;ONLINE;Melissa M Crowe;01/22/2013 - 05/16/2013
ENV;110;"Intro to Environmental Science";0001;LEC;4404;View Details;MoWeFr 10:00AM - 10:50AM;Pullen Hall 215;Kevin McCartney;01/22/2013 - 05/16/2013
ENV;110;"Intro to Environmental Science";0002;LEC;4405;View Details;We 9:00AM - 12:45PM;Houlton Center;David E Putnam;01/22/2013 - 05/16/2013
ENV;120;"Meteorology";0001;FEX;4275;View Details;TuTh 2:00PM - 3:15PM;Folsom Hall 303;Ted Shapiro;01/22/2013 - 05/16/2013
ENV;125;"Energy";0001;LEC;10664;View Details;TuTh 11:00AM - 12:15PM;Pullen Hall 210;Kevin McCartney;01/22/2013 - 05/16/2013
ENV;125;"Energy";0002;LEC;13771;View Details;TBA;ONLINE;Kevin McCartney;01/22/2013 - 05/16/2013
ENV;308;"GIS I";0001;LEC;4276;View Details;MoWe 3:30PM - 5:45PM;Folsom Hall 201;Chunzeng Wang;01/22/2013 - 05/16/2013
ENV;308;"GIS I";0002;LEC;13905;View Details;TuTh 3:30PM - 5:45PM;Folsom Hall 201;Chunzeng Wang;01/22/2013 - 05/16/2013
ENV;397;"Independent Study";0001;IND;14431;View Details;TBA;UMPI Arranged Space;Jason Clarence Johnston;01/22/2013 - 05/16/2013
